amazon_brand,answered_questions,amazons_choice,average_rating,best_seller_category,best_seller_rank,climate_friendly,coupon_percent,department,discount_percent,fakespot_ranking,free_prime_shipping,free_returns,limited_stock,log_unit_price,negative_log_best_seller_rank,new_seller,number_of_ratings,product_department,return_within_days,scaled_relevance_score,search_id,search_rank,ships_from_amazon,small_business,sold_by_amazon,sponsored,standard_shipping_date_range,standard_shipping_expected_date,subscribe_coupon,subscription_available,unit,unit_price,one_star_percent,two_star_percent,three_star_percent,four_star_percent,five_star_percent
FALSE,114,FALSE,4.7,Grocery & Gourmet Food,19,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,-1.4271163556401458,-7.282073658093465,TRUE,10979,grocery,0,-0.15595043831891162,All Departments-00 flour,1,TRUE,FALSE,FALSE,TRUE,0,2023-05-22,FALSE,TRUE,Ounce,0.24,2,1,3,0,4
FALSE,114,FALSE,4.7,Grocery & Gourmet Food,18,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,-1.4271163556401458,-7.282073658093465,TRUE,10979,grocery,0,-0.15837641266555447,All Departments-00 flour,2,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.24,2,1,3,0,4
FALSE,64,FALSE,4.7,Grocery & Gourmet Food,12,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,-1.8325814637483102,-6.373319789577012,TRUE,4600,grocery,0,-0.18143312549047141,All Departments-00 flour,3,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.16,2,1,3,0,5
FALSE,35,TRUE,4.8,Grocery & Gourmet Food,29,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,-1.8971199848858813,-8.31164394850298,TRUE,3159,grocery,0,-0.16643275546516362,All Departments-00 flour,4,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.15,2,1,2,9,7
FALSE,78,TRUE,4.8,Grocery & Gourmet Food,28,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,-2.3025850929940455,-8.228710798793687,TRUE,5339,grocery,0,-0.1864524243749856,All Departments-00 flour,5,TRUE,FALSE,TRUE,FALSE,0,2023-05-23,FALSE,FALSE,Ounce,0.1,2,1,1,6,0
FALSE,15,TRUE,4.7,Grocery & Gourmet Food,27,FALSE,0,All Departments,0,1,TRUE,FALSE,FALSE,-1.3093333199837622,-8.10076824307173,TRUE,1276,grocery,0,-0.1953111228390304,All Departments-00 flour,6,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.27,4,1,2,1,2
FALSE,23,FALSE,4.7,Grocery & Gourmet Food,34,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,2.65605490598383,-8.932344569113823,TRUE,2146,grocery,0,-0.22144249314365735,All Departments-00 flour,7,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Count,14.24,3,1,3,0,2
FALSE,38,FALSE,4.8,Grocery & Gourmet Food,33,TRUE,0,All Departments,0,2,TRUE,FALSE,FALSE,-1.6094379124341003,-8.7937637591133,TRUE,955,grocery,0,-0.19096585098673577,All Departments-00 flour,8,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.2,2,1,2,9,6
FALSE,11,FALSE,4.7,Grocery & Gourmet Food,49,FALSE,0,All Departments,0,2,TRUE,FALSE,FALSE,-1.5606477482646683,-10.254461275355103,TRUE,646,grocery,0,-0.1666737236491681,All Departments-00 flour,9,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.21,3,1,3,7,6
FALSE,44,FALSE,4.8,Grocery & Gourmet Food,35,FALSE,0,All Departments,0.13132075471698115,2,TRUE,FALSE,FALSE,-1.6607312068216509,-9.033961124637857,TRUE,2964,grocery,0,-0.1521472443095987,All Departments-00 flour,10,FALSE,FALSE,FALSE,FALSE,2,2023-05-24,FALSE,FALSE,Ounce,0.19,2,1,3,9,5
FALSE,0,TRUE,4.7,Grocery & Gourmet Food,37,FALSE,0,All Departments,0.17647058823529418,2,TRUE,FALSE,FALSE,-1.7147984280919266,-9.068085324395312,TRUE,424,grocery,0,-0.1903942052614096,All Departments-00 flour,11,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.18,3,0,3,0,3
FALSE,8,FALSE,4.5,Grocery & Gourmet Food,52,FALSE,0,All Departments,0,5,TRUE,FALSE,FALSE,2.0149030205422647,-10.501884396550263,TRUE,34,grocery,0,-0.17813902202683074,All Departments-00 flour,12,FALSE,TRUE,FALSE,FALSE,1,2023-05-17,FALSE,FALSE,Count,7.5,8,5,0,5,1
FALSE,24,TRUE,4.7,Grocery & Gourmet Food,25,FALSE,0,All Departments,0,3,TRUE,FALSE,FALSE,-1.8971199848858813,-8.037543185118697,TRUE,927,grocery,0,-0.15874027864624238,All Departments-00 flour,13,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.15,3,1,3,8,5
