department,category,query
All Departments,amazon device accessories,fire hd 10 tablet case
All Departments,amazon kindle,kindle
All Departments,automotive and powersports,automotive wheels
All Departments,baby products,baby shampoo
All Departments,beauty,it cosmetics
All Departments,books,chemistry textbook
All Departments,camera and photo,fujifilm instax mini film
All Departments,cell phones and accessories,iphone 11
All Departments,collectible coins,ngc coins
All Departments,consumer electronics ,lg tv
All Departments,entertainment collectibles,harry potter gifts
All Departments,fine art,african american wall art
All Departments,grocery and gourmet foods,00 flour
All Departments,health and personal care,iron supplement
All Departments,home and garden,queen comforter set
All Departments,independent design,handmade jewellery
All Departments,industrial and scientific,pcr machine
All Departments,kindle accessories and amazon fire tv accessories,pg94wif kindle case
All Departments,major appliances,dishwasher
All Departments,music and dvd,kpop album
All Departments,musical instruments,guitar
All Departments,office products,expanding file folder
All Departments,outdoors,tent
All Departments,personal computers,dell laptop
All Departments,pet supplies,dog food
All Departments,software,microsoft windows 10
All Departments,sports,pull up bar
All Departments,sports collectibles,fc barcelona jersey 
All Departments,tools and home improvement,pressure washer
All Departments,toys and games,play kitchen
All Departments,"video, dvd and blu-ray",dvd movies
All Departments,video games,nba 2k
All Departments,watches,watches for men
